Queries, Number of Overlapping Results, Percent Overlap, Spearman Coefficient
Query 1, 2, 20.0, -64.0
Query 2, 1, 10.0, 1
Query 3, 2, 20.0, -15.0
Query 4, 2, 20.0, -24.0
Query 5, 1, 10.0, 1
Query 6, 3, 30.0, -19.5
Query 7, 2, 20.0, -15.0
Query 8, 1, 10.0, 1
Query 9, 3, 30.0, -6.25
Query 10, 0, 0.0, 0
Query 11, 2, 20.0, -8.0
Query 12, 1, 10.0, 1
Query 13, 0, 0.0, 0
Query 14, 0, 0.0, 0
Query 15, 2, 20.0, -25.0
Query 16, 4, 40.0, -2.8
Query 17, 2, 20.0, -9.0
Query 18, 0, 0.0, 0
Query 19, 0, 0.0, 0
Query 20, 0, 0.0, 0
Query 21, 1, 10.0, 1
Query 22, 1, 10.0, 1
Query 23, 1, 10.0, 1
Query 24, 1, 10.0, 1
Query 25, 2, 20.0, -3.0
Query 26, 0, 0.0, 0
Query 27, 0, 0.0, 0
Query 28, 3, 30.0, -4.5
Query 29, 0, 0.0, 0
Query 30, 2, 20.0, -12.0
Query 31, 4, 40.0, -17.1
Query 32, 3, 30.0, -4.0
Query 33, 2, 20.0, 1.0
Query 34, 3, 30.0, 0.0
Query 35, 0, 0.0, 0
Query 36, 3, 30.0, -6.25
Query 37, 1, 10.0, 1
Query 38, 1, 10.0, 1
Query 39, 1, 10.0, 1
Query 40, 2, 20.0, -8.0
Query 41, 3, 30.0, -14.5
Query 42, 2, 20.0, -112.0
Query 43, 0, 0.0, 0
Query 44, 2, 20.0, -3.0
Query 45, 2, 20.0, -9.0
Query 46, 1, 10.0, 1
Query 47, 0, 0.0, 0
Query 48, 3, 30.0, -5.0
Query 49, 3, 30.0, -21.5
Query 50, 1, 10.0, 1
Query 51, 0, 0.0, 0
Query 52, 3, 30.0, -5.75
Query 53, 2, 20.0, 1.0
Query 54, 2, 20.0, -1.0
Query 55, 1, 10.0, 1
Query 56, 2, 20.0, -4.0
Query 57, 0, 0.0, 0
Query 58, 2, 20.0, -7.0
Query 59, 1, 10.0, 1
Query 60, 1, 10.0, 1
Query 61, 0, 0.0, 0
Query 62, 1, 10.0, 1
Query 63, 3, 30.0, -16.25
Query 64, 2, 20.0, -40.0
Query 65, 2, 20.0, -35.0
Query 66, 1, 10.0, 1
Query 67, 3, 30.0, -1.5
Query 68, 3, 30.0, -13.0
Query 69, 0, 0.0, 0
Query 70, 0, 0.0, 0
Query 71, 2, 20.0, -39.0
Query 72, 0, 0.0, 0
Query 73, 0, 0.0, 0
Query 74, 1, 10.0, 1
Query 75, 3, 30.0, -7.75
Query 76, 3, 30.0, -12.25
Query 77, 2, 20.0, 1.0
Query 78, 1, 10.0, 1
Query 79, 0, 0.0, 0
Query 80, 3, 30.0, -11.0
Query 81, 1, 10.0, 1
Query 82, 1, 10.0, 1
Query 83, 3, 30.0, -0.25
Query 84, 0, 0.0, 0
Query 85, 0, 0.0, 0
Query 86, 1, 10.0, 1
Query 87, 0, 0.0, 0
Query 88, 1, 10.0, 1
Query 89, 3, 30.0, -3.0
Query 90, 4, 40.0, -1.0
Query 91, 1, 10.0, 1
Query 92, 2, 20.0, -16.0
Query 93, 1, 10.0, 1
Query 94, 4, 40.0, -1.6
Query 95, 3, 30.0, -0.5
Query 96, 1, 10.0, 1
Query 97, 1, 10.0, 1
Query 98, 2, 20.0, -28.0
Query 99, 1, 10.0, 1
Query 100, 2, 20.0, -4.0
Averages, 1.52, 15.352, -6.2425
