URL,Size (Bytes),Outlinks,Content-Type
https://www.usatoday.com,226078,199,text/html
https://www.usatoday.com/,226078,199,text/html
https://www.usatoday.com/story/news/politics/2025/02/28/trump-executive-order-english-official-language-us/80834679007/,219740,110,text/html
https://www.usatoday.com/story/news/politics/2025/02/28/watch-livestream-trump-zelenskyy/80837815007/,198737,108,text/html
https://www.usatoday.com/story/money/2025/02/28/boycotts-protests-dei-target/80742681007/,220406,120,text/html
https://www.usatoday.com/story/news/world/2025/02/28/trump-zelenskyy-mineral-deal-ukraine-washington/80705447007/,250004,117,text/html
https://www.usatoday.com/story/life/2025/02/27/hoda-kotb-life-after-today-show/77845982007/,231809,105,text/html
https://www.usatoday.com/story/entertainment/celebrities/2025/02/27/gene-hackman-wife-betty-awakara-death-suspicious-search-warrant/80714103007/,236065,113,text/html
https://www.usatoday.com/story/opinion/2019/12/04/submit-letters-columns-and-comment-social/2608825001/,159626,111,text/html
https://cm.usatoday.com/subscriberguide,37556,15,text/html
https://www.usatoday.com/picture-gallery/news/world/2025/02/19/life-in-ukraine-russia-war-photos/79114956007/,166075,90,text/html
https://cm.usatoday.com/site-feedback/?platform=Tangent-Desktop&url=https%3A%2F%2Fwww.usatoday.com%2Fstory%2Fentertainment%2Fcelebrities%2F2025%2F02%2F27%2Fgene-hackman-wife-betty-awakara-death-suspicious-search-warrant%2F80714103007%2F&marketName=usatoday&cta=Footer,31966,9,text/html
https://www.usatoday.com/marketplace/jobs/,167798,120,text/html
https://cm.usatoday.com/site-feedback/?platform=Tangent-Desktop&url=https%3A%2F%2Fwww.usatoday.com%2Fstory%2Fopinion%2F2019%2F12%2F04%2Fsubmit-letters-columns-and-comment-social%2F2608825001%2F&marketName=usatoday&cta=Footer,31966,9,text/html
https://cm.usatoday.com/site-feedback/?platform=Tangent-Desktop&url=https%3A%2F%2Fwww.usatoday.com%2Fpicture-gallery%2Fnews%2Fworld%2F2025%2F02%2F19%2Flife-in-ukraine-russia-war-photos%2F79114956007%2F&marketName=usatoday&cta=Footer,31966,9,text/html
https://cm.usatoday.com/site-feedback/?platform=Tangent-Desktop&url=https%3A%2F%2Fwww.usatoday.com%2Fmarketplace%2Fjobs%2F&marketName=usatoday&cta=Footer,31966,9,text/html
https://cm.usatoday.com/site-feedback/?platform=Tangent-Desktop&url=https%3A%2F%2Fwww.usatoday.com%2Fstory%2Fopinion%2F2019%2F12%2F04%2Fsubmit-letters-columns-and-comment-social%2F2608825001%2F&marketName=usatoday&cta=Right-Rail,31966,9,text/html
https://classifieds.usatoday.com/,299296,48,text/html
https://cm.usatoday.com/site-feedback/?platform=Tangent-Desktop&url=https%3A%2F%2Fwww.usatoday.com%2Fmarketplace%2Fjobs%2F&marketName=usatoday&cta=Right-Rail,31966,9,text/html
https://www.usatoday.com/story/money/2025/01/26/social-security-changes-workers/77955601007/,191209,113,text/html
https://www.usatoday.com/online-betting,294341,182,text/html
https://www.usatoday.com/story/money/personalfinance/2025/01/26/economic-warning-behind-credit-cards-financial-stress/77887274007/,230800,122,text/html
https://www.usatoday.com/story/money/2025/01/31/costco-pay-increase/78098544007/,201324,114,text/html
https://www.usatoday.com/story/news/nation/2025/01/29/la-fires-latinos-employment-health-issues/77980541007/,219796,109,text/html
https://www.usatoday.com/story/money/2025/01/28/albertsons-layoff-safeway-workers/77981043007/?gnt-cfr=1&gca-cat=p,102047,55,text/html
https://www.usatoday.com/story/money/2025/01/23/costco-dei-shareholder-proposal-rejected/77907655007/,206451,113,text/html
https://newstips.usatoday.com/,7679,2,text/html
https://cm.usatoday.com/site-feedback/?platform=Tangent-Desktop&url=https%3A%2F%2Fwww.usatoday.com%2Fstory%2Fmoney%2F2025%2F01%2F28%2Falbertsons-layoff-safeway-workers%2F77981043007%2F&marketName=usatoday&cta=Right-Rail,31966,9,text/html
https://www.usatoday.com/story/money/2024/12/16/kroger-albertsons-why-merger-was-blocked/77027210007/,203974,115,text/html
https://subscribe.usatoday.com/offers?offer=P-BL&theme=sportsweekly&gnt-eid=control,92702,4,text/html
https://newstips.usatoday.com/securedrop.html,6833,0,text/html
https://subscribe.usatoday.com/offers?gps-source=CPMASTHEAD&itm_campaign=2025USATBAU3&itm_medium=ONSITE&itm_content=CPMASTHEAD&theme=twentyfour&hideGrid=true&gnt-eid=control,83488,1,text/html
https://cm.usatoday.com/site-feedback/?platform=Tangent-Desktop&url=https%3A%2F%2Fwww.usatoday.com%2Fstory%2Fmoney%2F2024%2F12%2F16%2Fkroger-albertsons-why-merger-was-blocked%2F77027210007%2F&marketName=usatoday&cta=Footer,31966,9,text/html
https://cm.usatoday.com/site-feedback/?platform=Tangent-Desktop&url=https%3A%2F%2Fwww.usatoday.com%2Fstory%2Fmoney%2F2024%2F12%2F16%2Fkroger-albertsons-why-merger-was-blocked%2F77027210007%2F&marketName=usatoday&cta=Right-Rail,31966,9,text/html
https://login.usatoday.com/USAT-GUP/authenticate/?success-url=https%3A%2F%2Fwww.usatoday.com%2Fstory%2Fopinion%2F2019%2F12%2F04%2Fsubmit-letters-columns-and-comment-social%2F2608825001%2F&cancel-url=https%3A%2F%2Fwww.usatoday.com%2Fstory%2Fopinion%2F2019%2F12%2F04%2Fsubmit-letters-columns-and-comment-social%2F2608825001%2F&from-state=returning-user-get-redirect&cookies=,79907,11,text/html
https://classifieds.usatoday.com/page/8/?et_blog,288410,30,text/html
https://www.usatoday.com/online-betting/sports/ncaaf-heisman-odds,465539,152,text/html
https://www.usatoday.com/story/money/2024/11/05/tgi-fridays-bankruptcy-gift-cards/76064934007/,222148,121,text/html
https://www.usatoday.com/story/money/2023/03/28/kroger-albertsons-merger-will-the-biden-administration-stop-it/69791116007/?gnt-cfr=1&gca-cat=p,98104,56,text/html
https://cm.usatoday.com/site-feedback/?platform=Tangent-Desktop&url=https%3A%2F%2Fwww.usatoday.com%2Fstory%2Fmoney%2F2024%2F11%2F05%2Ftgi-fridays-bankruptcy-gift-cards%2F76064934007%2F&marketName=usatoday&cta=Footer,31966,9,text/html
https://subscribe.usatoday.com/checkout?offer=W-TS&unitNumber=8872&publicationCode=TU&secondaryPublicationCode=UT&promotionCode=TS&fodCode=MF&theme=sportsweekly,82811,1,text/html
https://subscribe.usatoday.com/offers?gps-source=CPHEARTHIS&itm_medium=subscribe&itm_source=hear_this_story&itm_campaign=story_page&itm_content=bluebutton&theme=twentyfour&hideGrid=true&gnt-eid=control,83520,1,text/html
https://cm.usatoday.com/site-feedback/?platform=Tangent-Desktop&url=https%3A%2F%2Fwww.usatoday.com%2Fstory%2Fmoney%2F2024%2F11%2F05%2Ftgi-fridays-bankruptcy-gift-cards%2F76064934007%2F&marketName=usatoday&cta=Right-Rail,31966,9,text/html
https://www.usatoday.com/story/money/2024/09/30/plan-to-sell-stores-after-kroger-albertsons-merger-draws-fire-in-trial/75457450007/,200278,112,text/html
https://www.usatoday.com/story/money/2024/04/22/kroger-albertsons-agree-to-sell-off-579-stores-to-mollify-regulators/73410731007/?gnt-cfr=1&gca-cat=p,105598,62,text/html
https://www.usatoday.com/story/news/2022/10/14/kroger-albertsons-enter-agreement-to-merge/69562703007/,183655,106,text/html
https://subscribe.usatoday.com/checkout?offer=W-TS&theme=sportsweekly&offerId=6MS&promotionCode=W-TS,82757,1,text/html
https://profile.usatoday.com/newsletters/everyones-talking/,52365,12,text/html
https://cm.usatoday.com/site-feedback/?platform=Tangent-Desktop&url=https%3A%2F%2Fwww.usatoday.com%2Fstory%2Fmoney%2F2024%2F09%2F30%2Fplan-to-sell-stores-after-kroger-albertsons-merger-draws-fire-in-trial%2F75457450007%2F&marketName=usatoday&cta=Footer,31966,9,text/html
https://www.usatoday.com/story/money/2024/11/04/tgi-fridays-bankruptcy-closures/76050421007/,197362,117,text/html
